Original|Translated
Longshore|Die Endlose Küste
Badlands|Ödland
Blasted Lands|Verwüstete Lande
Blackwater Cove|Schwarzmeerbucht
Swamp of Sorrows|Sümpfe des Elends
Northshire Valley|Nordhaintal
Duskwood|Dämmerwald
Wetlands|Sumpfland
Elwynn Forest|Wald von Elwynn
The World Tree|Der Weltenbaum
Dustwallow Marsh|Düstermarschen
Northern Barrens|Nördliches Brachland
Crystal Lake|Kristallsee
Moonbrook|Mondbruch
Programmer Isle|Programmierer-Insel
Northshire River|Nordhainfluss
Northshire Abbey|Abtei von Nordhain
Blackrock Mountain|Der Schwarzfels
Lighthouse|Leuchtturm
Western Plaguelands|Westliche Pestländer
The Cemetary|Der Friedhof
Northern Stranglethorn|Nördliches Schlingendorntal
Echo Ridge Mine|Echokammmine
Booty Bay|Beutebucht
Alterac Mountains|Alteracgebirge
Lake Nazferiti|Der Nazferitisee
Deadwind Pass|Gebirgspass der Totenwinde
Darkshire|Dunkelhain
Wild Shore|Die Wilden Ufer
Redridge Mountains|Rotkammgebirge
Arathi Highlands|Das Arathihochland
Burning Steppes|Brennende Steppe
The Hinterlands|Hinterland
Searing Gorge|Sengende Schlucht
Thieves Camp|Diebeslager
Jasperlode Mine|Jaspismine
Heroes' Vigil|Heldenwache
Fargodeep Mine|Tiefenschachtmine
Northshire Vineyards|Weingut von Nordhain
Forest's Edge|Der Waldrand
Thunder Falls|Donnerfälle
Brackwell Pumpkin Patch|Brackbrunns Kürbisbeet
The Stonefield Farm|Hof der Steinfelds
The Maclure Vineyards|Weinberge der Maclures
Dragonblight|Drachenöde
The Storm Peaks|Die Sturmgipfel
Lake Everstill|Der Immerruhsee
Lakeshire|Seenhain
Stonewatch|Steinwacht
Stonewatch Falls|Steinwachtfälle
The Dark Portal|Das Dunkle Portal
The Tainted Scar|Die Faulende Narbe
Pool of Tears|Tränenteich
Stonard|Steinard
Fallow Sanctuary|Zuflucht der Verirrten
Anvilmar|Ambossar
Stormwind Mountains|Berge von Sturmwind
Jeff NE Quadrant Changed|Jeff NO-Quadrant geändert
Jeff NW Quadrant|Jeff NW-Quadrant
Jeff SE Quadrant|Jeff SO-Quadrant
Jeff SW Quadrant|Jeff SW-Quadrant
Tirisfal Glades|Tirisfal
Stone Cairn Lake|Der Steinhügelsee
Goldshire|Goldhain
Eastvale Logging Camp|Holzfällerlager des Osttals
Mirror Lake Orchard|Obsthain am Spiegelsee
Tower of Azora|Turm von Azora
Mirror Lake|Spiegelsee
Vul'Gol Ogre Mound|Ogerhort Vul'Gol
Raven Hill|Rabenflucht
Redridge Canyons|Rotkammschlucht
Tower of Ilgalar|Der Turm von Ilgalar
Alther's Mill|Althers Mühle
Rethban Caverns|Rethbanhöhlen
Rebel Camp|Rebellenlager
Nesingwary's Expedition|Nesingwarys Expedition
Kurzen's Compound|Kurzens Truppenlager
Ruins of Zul'Kunda|Ruinen von Zul'Kunda
Ruins of Zul'Mamwe|Ruinen von Zul'Mamwe
The Vile Reef|Das Finstere Riff
Mosh'Ogg Ogre Mound|Ogerhügel der Mosh'Ogg
The Stockpile|Das Vorratslager
Saldean's Farm|Saldeans Hof
Sentinel Hill|Späherkuppe
Furlbrow's Pumpkin Farm|Brauenwirbels Kürbishof
Jangolode Mine|Der Jangoschacht
Gold Coast Quarry|Der Goldküstensteinbruch
