enUS|enUS|deDE|frFR|esES|esMX|koKR|ruRU|zhCN|zhTW
Longshore||Die Endlose Küste|Longrivage|Playa Larga|Playa Larga|기나긴 해안|Бескрайний берег|长滩|長灘
Badlands||Ödland|Terres Ingrates|Tierras Inhóspitas|Tierras Inhóspitas|황야의 땅|Бесплодные земли|荒芜之地|荒蕪之地
Blasted Lands||Verwüstete Lande|Terres Foudroyées|Las Tierras Devastadas|Las Tierras Devastadas|저주받은 땅|Выжженные земли|诅咒之地|詛咒之地
Blackwater Cove||Schwarzmeerbucht|Crique des Flots noirs|Cala Aguasnegras|Cala Aguasnegras|검은바다 만|Бухта Черноводья|黑水湾|黑水灣
Swamp of Sorrows||Sümpfe des Elends|Marais des Chagrins|Pantano de las Penas|Pantano de las Penas|슬픔의 늪|Болото Печали|悲伤沼泽|悲傷沼澤
Northshire Valley||Nordhaintal|Vallée de Comté-du-Nord|Valle de Villanorte|Valle de Villanorte|북녘골 계곡|Долина Североземья|北郡山谷|北郡山谷
Duskwood||Dämmerwald|Bois de la Pénombre|Bosque del Ocaso|Bosque del Ocaso|그늘숲|Сумеречный лес|暮色森林|暮色森林
Wetlands||Sumpfland|Les Paluns|Los Humedales|Los Humedales|저습지|Болотина|湿地|濕地
Elwynn Forest||Wald von Elwynn|Forêt d’Elwynn|Bosque de Elwynn|Bosque de Elwynn|엘윈 숲|Элвиннский лес|艾尔文森林|艾爾文森林
The World Tree||Der Weltenbaum|L’Arbre-Monde|Árbol del Mundo|Árbol del Mundo|세계수|Древо Жизни|世界之树|世界之樹
Dustwallow Marsh||Düstermarschen|Marécage d’Âprefange|Marjal Revolcafango|Marjal Revolcafango|먼지진흙 습지대|Пылевые топи|尘泥沼泽|塵泥沼澤
Northern Barrens||Nördliches Brachland|Tarides du Nord|Los Baldíos del Norte|Los Baldíos del Norte|북부 불모의 땅|Северные степи|北贫瘠之地|北貧瘠之地
Crystal Lake||Kristallsee|Lac de Cristal|Lago de Cristal|Lago de Cristal|수정 호수|Озеро Хрустальное|水晶湖|水晶湖
Moonbrook||Mondbruch|Ruisselune|Arroyo de la Luna|Arroyo de la Luna|달빛시내 마을|Луноречье|月溪镇|月溪鎮
Programmer Isle||Programmierer-Insel|Île des Programmeurs|Isla del Programador|Isla del Programador|프로그래머의 섬|Остров Программиста||工程師島
Northshire River||Nordhainfluss|Fleuve Comté-du-Nord|Río de Villanorte|Río de Villanorte|북녘골 강|Река Североземья|北郡河|北郡河
Northshire Abbey||Abtei von Nordhain|Abbaye de Comté-du-Nord|Abadía de Villanorte|Abadía de Villanorte|북녘골 수도원|Аббатство Североземья|北郡修道院|北郡修道院
Blackrock Mountain||Der Schwarzfels|Mont Rochenoire|Montaña Roca Negra|Montaña Roca Negra|검은바위 산|Черная гора|黑石山|黑石山
Lighthouse||Leuchtturm|Phare|Faro|Faro|등대|Маяк|灯塔|燈塔
Western Plaguelands||Westliche Pestländer|Maleterres de l’Ouest|Tierras de la Peste del Oeste|Tierras de la Peste del Oeste|서부 역병지대|Западные Чумные земли|西瘟疫之地|西瘟疫之地
The Cemetary||Der Friedhof|Le Cimetière|El Cementerio|El Cementerio|묘지|Кладбище|大墓地|陵墓
Northern Stranglethorn||Nördliches Schlingendorntal|Strangleronce septentrionale|Norte de la Vega de Tuercespina|Norte de la Vega de Tuercespina|북부 가시덤불|Северная Тернистая долина|北荆棘谷|北荊棘谷
