Original|Translated
Dun Morogh|丹莫洛
Longshore|長灘
Badlands|荒蕪之地
Blasted Lands|詛咒之地
Blackwater Cove|黑水灣
Swamp of Sorrows|悲傷沼澤
Northshire Valley|北郡山谷
Duskwood|暮色森林
Wetlands|濕地
Elwynn Forest|艾爾文森林
The World Tree|世界之樹
Durotar|杜洛塔
Dustwallow Marsh|塵泥沼澤
Azshara|艾薩拉
Northern Barrens|北貧瘠之地
Crystal Lake|水晶湖
Zul'Gurub|祖爾格拉布
Moonbrook|月溪鎮
Kul Tiras|庫爾提拉斯
Programmer Isle|工程師島
Northshire River|北郡河
Northshire Abbey|北郡修道院
Blackrock Mountain|黑石山
Lighthouse|燈塔
Western Plaguelands|西瘟疫之地
The Cemetary|陵墓
Northern Stranglethorn|北荊棘谷
Echo Ridge Mine|回音山礦坑
Booty Bay|藏寶海灣
Alterac Mountains|奧特蘭克山脈
Lake Nazferiti|納菲瑞提湖
Loch Modan|洛克莫丹
Westfall|西部荒野
Deadwind Pass|逆風小徑
Darkshire|夜色鎮
Wild Shore|蠻荒海岸
Redridge Mountains|赤脊山
Arathi Highlands|阿拉希高地
Burning Steppes|燃燒平原
The Hinterlands|辛特蘭
Dead Man's Hole|亡者之穴
Searing Gorge|灼熱峽谷
Thieves Camp|盜賊營地
Jasperlode Mine|玉石礦坑
Heroes' Vigil|英雄崗哨
Fargodeep Mine|法戈第礦坑
Northshire Vineyards|北郡農場
Forest's Edge|森林邊界
Thunder Falls|雷霆瀑布
Brackwell Pumpkin Patch|布萊克威爾南瓜田
The Stonefield Farm|斯通菲爾德農場
The Maclure Vineyards|馬科倫農場
Dragonblight|龍骨荒野
Zul'Drak|祖爾德拉克
The Storm Peaks|風暴群山
Lake Everstill|止水湖
Lakeshire|湖畔鎮
Stonewatch|石望
Stonewatch Falls|石望瀑布
The Dark Portal|黑暗之門
The Tainted Scar|腐化之痕
Pool of Tears|淚水之池
Stonard|斯通納德
Fallow Sanctuary|農田避難所
Anvilmar|安威瑪
Stormwind Mountains|暴風山脈
Tirisfal Glades|提里斯法林地
Stone Cairn Lake|石碑湖
Goldshire|閃金鎮
Eastvale Logging Camp|東谷伐木場
Mirror Lake Orchard|明鏡湖果園
Tower of Azora|阿祖拉之塔
Mirror Lake|明鏡湖
Vul'Gol Ogre Mound|沃古爾巨魔山
Raven Hill|烏鴉嶺
Redridge Canyons|赤脊峽谷
Tower of Ilgalar|伊爾加拉之塔
Alther's Mill|奧瑟爾伐木場
Rethban Caverns|瑞斯班洞穴
Rebel Camp|反抗軍營地
Nesingwary's Expedition|奈辛瓦里遠征隊營地
Kurzen's Compound|庫爾森的營地
Ruins of Zul'Kunda|祖昆達廢墟
Ruins of Zul'Mamwe|祖瑪維廢墟
The Vile Reef|暗礁海
Mosh'Ogg Ogre Mound|莫什奧格巨魔山
The Stockpile|儲藏室
Saldean's Farm|薩丁農場
Sentinel Hill|哨兵嶺
Furlbrow's Pumpkin Farm|法布隆南瓜農場
Jangolode Mine|詹戈洛德礦坑
Gold Coast Quarry|金海岸礦坑
Westfall Lighthouse|西部荒野燈塔
Misty Valley|迷霧谷
Grom'gol Base Camp|格羅姆高營地
Whelgar's Excavation Site|維爾加挖掘場
Westbrook Garrison|西泉要塞
Tranquil Gardens Cemetery|靜謐花園墓場
Zuuldaia Ruins|祖丹亞廢墟
Bal'lal Ruins|巴拉爾廢墟
Kal'ai Ruins|卡萊廢墟
Tkashi Ruins|伽什廢墟
Balia'mah Ruins|巴里亞曼廢墟
Ziata'jai Ruins|贊塔加廢墟
Mizjah Ruins|米扎廢墟
Silverpine Forest|銀松森林
Kharanos|卡拉諾斯
Coldridge Valley|寒脊山谷
New Tinkertown|新地精區
Gol'Bolar Quarry|古博拉採掘場
Frostmane Hold|霜鬃要塞
The Grizzled Den|灰色洞穴
Brewnall Village|烈酒村
Misty Pine Refuge|霧松避難所
Eastern Plaguelands|東瘟疫之地
Ironband's Excavation Site|鐵環挖掘場
Mo'grosh Stronghold|莫格羅什要塞
Thelsamar|塞爾薩瑪
Algaz Gate|奧加茲隘口
Stonewrought Dam|巨石水壩
The Farstrider Lodge|遠行者小屋
Darkshore|黑海岸
Silver Stream Mine|銀泉礦坑
