Original|Translated
Longshore|Longrivage
Badlands|Terres Ingrates
Blasted Lands|Terres Foudroyées
Blackwater Cove|Crique des Flots noirs
Swamp of Sorrows|Marais des Chagrins
Northshire Valley|Vallée de Comté-du-Nord
Duskwood|Bois de la Pénombre
Wetlands|Les Paluns
Elwynn Forest|Forêt d’Elwynn
The World Tree|L’Arbre-Monde
Dustwallow Marsh|Marécage d’Âprefange
Northern Barrens|Tarides du Nord
Crystal Lake|Lac de Cristal
Zul'Gurub|Zul’Gurub
Moonbrook|Ruisselune
Programmer Isle|Île des Programmeurs
Northshire River|Fleuve Comté-du-Nord
Northshire Abbey|Abbaye de Comté-du-Nord
Blackrock Mountain|Mont Rochenoire
Lighthouse|Phare
Western Plaguelands|Maleterres de l’Ouest
Nine|coulée
The Cemetary|Le Cimetière
Northern Stranglethorn|Strangleronce septentrionale
Echo Ridge Mine|Mine de la crête aux Échos
Booty Bay|Baie-du-Butin
Alterac Mountains|Montagnes d’Alterac
Lake Nazferiti|Lac Nazfériti
Westfall|Marche de l’Ouest
Deadwind Pass|Défilé de Deuillevent
Darkshire|Sombre-Comté
Wild Shore|Le rivage Cruel
Redridge Mountains|Les Carmines
Arathi Highlands|Hautes-terres Arathies
Burning Steppes|Steppes Ardentes
The Hinterlands|Les Hinterlands
Dead Man's Hole|Gouffre du Mort
Searing Gorge|Gorge des Vents brûlants
Thieves Camp|Camp des Voleurs
Jasperlode Mine|Mine Veine-de-Jaspe
Valley of Heroes UNUSED|Vallée des Héros
Heroes' Vigil|Veillée des héros
Fargodeep Mine|Mine de Fondugouffre
Northshire Vineyards|Vignoble de Comté-du-Nord
Forest's Edge|La Lisière
Thunder Falls|Chutes du Tonnerre
Brackwell Pumpkin Patch|Champ de potirons des Saumepuits
The Stonefield Farm|Ferme des Champierreux
The Maclure Vineyards|Vignes des Maclure
Dragonblight|Désolation des dragons
Zul'Drak|Zul’Drak
The Storm Peaks|Les pics Foudroyés
Lake Everstill|Lac Placide
Lakeshire|Comté-du-Lac
Stonewatch|Guet-de-Pierre
Stonewatch Falls|Chutes de Guet-de-Pierre
The Dark Portal|Porte des ténèbres
The Tainted Scar|La Balafre impure
Pool of Tears|Bassin des Larmes
Stonard|Pierrêche
Fallow Sanctuary|Sanctuaire des Friches
Anvilmar|Courbenclume
Stormwind Mountains|Monts Hurlevent
Jeff NE Quadrant Changed|Quadrant NE de Jeff modifié
Jeff NW Quadrant|Quadrant de Jeff NO
Jeff SE Quadrant|Quadrant de Jeff SE
Jeff SW Quadrant|Quadrant de Jeff SO
Tirisfal Glades|Clairières de Tirisfal
Stone Cairn Lake|Lac du Cairn
Goldshire|Comté-de-l’Or
Eastvale Logging Camp|Camp de bûcherons du val d’Est
Mirror Lake Orchard|Verger du lac Miroir
Tower of Azora|Tour d’Azora
Mirror Lake|Lac Miroir
Vul'Gol Ogre Mound|Tertre des Ogres vul’gol
Raven Hill|Colline-aux-Corbeaux
Redridge Canyons|Canyons des Carmines
