Original|Translated
Dun Morogh|Дун Морог
Longshore|Бескрайний берег
Badlands|Бесплодные земли
Blasted Lands|Выжженные земли
Blackwater Cove|Бухта Черноводья
Swamp of Sorrows|Болото Печали
Northshire Valley|Долина Североземья
Duskwood|Сумеречный лес
Wetlands|Болотина
Elwynn Forest|Элвиннский лес
The World Tree|Древо Жизни
Durotar|Дуротарский
Dustwallow Marsh|Пылевые топи
Azshara|Азшара
Northern Barrens|Северные степи
Crystal Lake|Озеро Хрустальное
Zul'Gurub|Зул'Гуруб
Moonbrook|Луноречье
Kul Tiras|Кул-Тирас
Programmer Isle|Остров Программиста
Northshire River|Река Североземья
Northshire Abbey|Аббатство Североземья
Blackrock Mountain|Черная гора
Lighthouse|Маяк
Western Plaguelands|Западные Чумные земли
Nine|"9"""
The Cemetary|Кладбище
Northern Stranglethorn|Северная Тернистая долина
Echo Ridge Mine|Рудник Горного Эха
Booty Bay|Пиратская Бухта
Alterac Mountains|Альтеракские горы
Lake Nazferiti|Озеро Назферити
Loch Modan|Лок Модан
Westfall|Западный край
Deadwind Pass|Перевал Мертвого Ветра
Darkshire|Темнолесье
Wild Shore|Пустынный берег
Redridge Mountains|Красногорье
Arathi Highlands|Нагорье Арати
Burning Steppes|Пылающие степи
The Hinterlands|Внутренние земли
Dead Man's Hole|Нора Мертвеца
Searing Gorge|Тлеющее ущелье
Thieves Camp|Воровской лагерь
Jasperlode Mine|Яшмовая шахта
Valley of Heroes UNUSED|Аллея Героев НЕ ИСПОЛЬЗУЕТСЯ
Heroes' Vigil|Часовые Вечности
Fargodeep Mine|Рудник Подземных Глубин
Northshire Vineyards|Виноградники Североземья
Forest's Edge|Лесная опушка
Thunder Falls|Ревущий водопад
Brackwell Pumpkin Patch|Тыквенное поле Бреквеллов
The Stonefield Farm|Ферма Стоунфилдов
The Maclure Vineyards|Виноградники Маклура
Dragonblight|Драконий Погост
Zul'Drak|Зул'Драк
The Storm Peaks|Грозовая гряда
Lake Everstill|Озеро Безмолвия
Lakeshire|Приозерье
Stonewatch|Крепость Каменной Стражи
Stonewatch Falls|Водопад Каменной Стражи
The Dark Portal|Темный портал
The Tainted Scar|Гниющий Шрам
Pool of Tears|Озеро Слез
Stonard|Каменор
Fallow Sanctuary|Болотное пристанище
Anvilmar|Старая Наковальня
Stormwind Mountains|Горы Штормграда
Jeff NE Quadrant Changed|Джефф СВ Измененный квадрант
