Original|Translated
Dun Morogh|던 모로
Longshore|기나긴 해안
Badlands|황야의 땅
Blasted Lands|저주받은 땅
- QA and DVD GLOBAL -|- QA 및 DVD 전역 -
Blackwater Cove|검은바다 만
Swamp of Sorrows|슬픔의 늪
Northshire Valley|북녘골 계곡
Duskwood|그늘숲
Wetlands|저습지
Elwynn Forest|엘윈 숲
The World Tree|세계수
Durotar|듀로타
Dustwallow Marsh|먼지진흙 습지대
Azshara|아즈샤라
Northern Barrens|북부 불모의 땅
Crystal Lake|수정 호수
Zul'Gurub|줄구룹
Moonbrook|달빛시내 마을
Kul Tiras|쿨 티라스
Programmer Isle|프로그래머의 섬
Northshire River|북녘골 강
Northshire Abbey|북녘골 수도원
Blackrock Mountain|검은바위 산
Lighthouse|등대
Western Plaguelands|서부 역병지대
Nine|9호
The Cemetary|묘지
Northern Stranglethorn|북부 가시덤불
Echo Ridge Mine|메아리 광산
Booty Bay|무법항
Alterac Mountains|알터랙 산맥
Lake Nazferiti|나즈페리티 호수
Loch Modan|모단 호수
Westfall|서부 몰락지대
Deadwind Pass|저승바람 고개
Darkshire|어둠골
Wild Shore|거친 해안
Redridge Mountains|붉은마루 산맥
Arathi Highlands|아라시 고원
Burning Steppes|불타는 평원
The Hinterlands|동부 내륙지
Dead Man's Hole|사자의 구멍
Searing Gorge|이글거리는 협곡
Thieves Camp|도둑 야영지
Jasperlode Mine|벽옥맥 광산
Valley of Heroes UNUSED|영웅의 계곡 미사용
Heroes' Vigil|수호영웅의 안식처
Fargodeep Mine|개미굴 광산
Northshire Vineyards|북녘골 포도밭
Forest's Edge|숲 가장자리
Thunder Falls|천둥 폭포
Brackwell Pumpkin Patch|브랙웰 호박밭
The Stonefield Farm|스톤필드 농장
The Maclure Vineyards|매클루어 포도밭
Dragonblight|용의 안식처
Zul'Drak|줄드락
The Storm Peaks|폭풍우 봉우리
Lake Everstill|영원고요 호수
Lakeshire|호숫골
Stonewatch|돌망루 요새
Stonewatch Falls|돌망루 언덕
The Dark Portal|어둠의 문
The Tainted Scar|타락의 흉터
Pool of Tears|눈물의 연못
Stonard|스토나드
Fallow Sanctuary|드레노어 성역
Anvilmar|앤빌마
Stormwind Mountains|스톰윈드 산맥
Jeff NE Quadrant Changed|제프의 북동 사분면
Jeff NW Quadrant|제프의 북서 사분면
Jeff SE Quadrant|제프의 남동 사분면
Jeff SW Quadrant|제프의 남서 사분면
Tirisfal Glades|티리스팔 숲
Stone Cairn Lake|돌무덤 호수
Goldshire|황금골
Eastvale Logging Camp|동쪽계곡 벌목지
Mirror Lake Orchard|거울 호수 과수원
Tower of Azora|아조라의 탑
Mirror Lake|거울 호수
Vul'Gol Ogre Mound|벌골 오우거 소굴
Raven Hill|까마귀 언덕
Redridge Canyons|붉은마루 협곡
Tower of Ilgalar|일갈라의 탑
Alther's Mill|앨더의 제재소
Rethban Caverns|레스밴 동굴
Rebel Camp|반란군 야영지
Nesingwary's Expedition|네싱워리 원정대
Kurzen's Compound|쿠르젠 주둔지
Ruins of Zul'Kunda|줄쿤다의 폐허
Ruins of Zul'Mamwe|줄맘웨의 폐허
The Vile Reef|썩은내 산호초
Mosh'Ogg Ogre Mound|모쉬오그 오우거 소굴
The Stockpile|보급창
Saldean's Farm|살딘 농장
Sentinel Hill|감시의 언덕
Furlbrow's Pumpkin Farm|펄브라우 호박밭
Jangolode Mine|장고로드 광산
Gold Coast Quarry|황금해안 채석장
Westfall Lighthouse|서부 몰락지대 등대
Misty Valley|안개 골짜기
Grom'gol Base Camp|그롬골 주둔지
Whelgar's Excavation Site|웰가르의 발굴현장
Westbrook Garrison|서쪽시내 주둔지
Tranquil Gardens Cemetery|고요의 정원 묘지
Zuuldaia Ruins|줄다이아 폐허
Bal'lal Ruins|발랄 폐허
Kal'ai Ruins|칼아이 폐허
Tkashi Ruins|트카시 폐허
Balia'mah Ruins|발리아마 폐허
Ziata'jai Ruins|지아타자이 폐허
Mizjah Ruins|미즈자 폐허
Silverpine Forest|은빛소나무 숲
Kharanos|카라노스
Coldridge Valley|눈마루 골짜기
New Tinkertown|신 땜장이 마을
Gol'Bolar Quarry|골볼라 채석장
Frostmane Hold|서리갈기 소굴
The Grizzled Den|은빛 동굴
Brewnall Village|브루날 마을
Misty Pine Refuge|안개소나무 은거처
Eastern Plaguelands|동부 역병지대
Ironband's Excavation Site|아이언밴드의 발굴현장
Mo'grosh Stronghold|모그로쉬 소굴
Thelsamar|텔사마
Algaz Gate|알가즈 관문
Stonewrought Dam|돌다지 댐
The Farstrider Lodge|원정순찰대 오두막
Darkshore|어둠해안
Silver Stream Mine|은여울 광산
Menethil Harbor|메네실 항구
Designer Island|디자이너의 섬
The Bulwark|보루
Ruins of Lordaeron|로데론의 폐허
Deathknell|죽음의 종소리 마을
Night Web's Hollow|검은그물 거미굴
Solliden Farmstead|솔리덴 농장
Agamand Mills|아가만드 제분소
Agamand Family Crypt|아가만드가 납골당
Brill|브릴
Whispering Gardens|속삭임의 정원
Terrace of Repose|평온의 정원
Brightwater Lake|청명 호수
Gunther's Retreat|군터의 은거지
Garren's Haunt|가렌의 흉가
Balnir Farmstead|발니르 농장
Cold Hearth Manor|버려진 장원
Crusader Outpost|붉은십자군 전초기지
The North Coast|북부 해안
Whispering Shore|속삭임의 해안
Lordamere Lake|로다미어 호수
Fenris Isle|펜리스 섬
Faol's Rest|파올의 안식처
Dolanaar|돌라나르
Darnassus UNUSED|다르나서스 미사용
