Original|Translated
Longshore|Playa Larga
Badlands|Tierras Inhóspitas
Blasted Lands|Las Tierras Devastadas
Blackwater Cove|Cala Aguasnegras
Swamp of Sorrows|Pantano de las Penas
Northshire Valley|Valle de Villanorte
Duskwood|Bosque del Ocaso
Wetlands|Los Humedales
Elwynn Forest|Bosque de Elwynn
The World Tree|Árbol del Mundo
Dustwallow Marsh|Marjal Revolcafango
Northern Barrens|Los Baldíos del Norte
Crystal Lake|Lago de Cristal
Moonbrook|Arroyo de la Luna
Programmer Isle|Isla del Programador
Northshire River|Río de Villanorte
Northshire Abbey|Abadía de Villanorte
Blackrock Mountain|Montaña Roca Negra
Lighthouse|Faro
Western Plaguelands|Tierras de la Peste del Oeste
The Cemetary|El Cementerio
Northern Stranglethorn|Norte de la Vega de Tuercespina
Echo Ridge Mine|Mina del Eco
Booty Bay|Bahía del Botín
Alterac Mountains|Montañas de Alterac
Lake Nazferiti|Lago Nazferiti
Westfall|Páramos de Poniente
Deadwind Pass|Paso de la Muerte
Darkshire|Villa Oscura
Wild Shore|Orilla Salvaje
Redridge Mountains|Montañas Crestagrana
Arathi Highlands|Tierras Altas de Arathi
Burning Steppes|Las Estepas Ardientes
The Hinterlands|Tierras del Interior
Dead Man's Hole|El Agujero del Muerto
Searing Gorge|La Garganta de Fuego
Thieves Camp|Campamento de Ladrones
Jasperlode Mine|Cantera de Jaspe
Heroes' Vigil|Vigilia de los Héroes
Fargodeep Mine|Mina Abisal
Northshire Vineyards|Viñedos de Villanorte
Forest's Edge|Linde del bosque
Thunder Falls|Cataratas del Trueno
Brackwell Pumpkin Patch|Plantación de Calabazas de Brackwell
The Stonefield Farm|La Granja Pedregosa
The Maclure Vineyards|Los Viñedos de Maclure
Dragonblight|Cementerio de Dragones
The Storm Peaks|Las Cumbres Tormentosas
Lake Everstill|Lago Sempiterno
Lakeshire|Villa del Lago
Stonewatch|Petravista
Stonewatch Falls|Cascadas Petravista
The Dark Portal|El Portal Oscuro
The Tainted Scar|Escara Impía
Pool of Tears|Charca de Lágrimas
Stonard|Rocal
Fallow Sanctuary|Retiro Fangoso
Anvilmar|Yunquemar
Stormwind Mountains|Montañas de Ventormenta
Tirisfal Glades|Claros de Tirisfal
Stone Cairn Lake|Lago del Hito
Goldshire|Villadorada
Eastvale Logging Camp|Aserradero de la Vega del Este
Mirror Lake Orchard|Vergel del Lago Espejo
Tower of Azora|Torre de Azora
Mirror Lake|Lago Espejo
Vul'Gol Ogre Mound|Túmulo de Vul'Gol
Raven Hill|Cerro del Cuervo
Redridge Canyons|Cañones de Crestagrana
Tower of Ilgalar|Torre de Ilgalar
Alther's Mill|Molino de Alther
Rethban Caverns|Cavernas de Rethban
Rebel Camp|Asentamiento Rebelde
Nesingwary's Expedition|Expedición de Nesingwary
Kurzen's Compound|Base de Kurzen
Ruins of Zul'Kunda|Ruinas de Zul'Kunda
Ruins of Zul'Mamwe|Ruinas de Zul'Mamwe
The Vile Reef|El Arrecife Mortal
Mosh'Ogg Ogre Mound|Túmulo Ogro Mosh'Ogg
The Stockpile|Las Reservas
Saldean's Farm|Finca de Saldean
Sentinel Hill|Colina del Centinela
Furlbrow's Pumpkin Farm|Plantación de Calabazas de Cejade
Jangolode Mine|Mina de Jango
Gold Coast Quarry|Mina de la Costa del Oro
Westfall Lighthouse|Faro de Poniente
Misty Valley|Valle Brumoso
Grom'gol Base Camp|Campamento Grom'gol
Whelgar's Excavation Site|Excavación de Whelgar
Westbrook Garrison|Cuartel de Arroyoeste
Tranquil Gardens Cemetery|Cementerio del Jardín Sereno
Zuuldaia Ruins|Ruinas Zuuldaia
Bal'lal Ruins|Ruinas de Bal'lal
Kal'ai Ruins|Ruinas de Kal'ai
Tkashi Ruins|Ruinas de Tkashi
Balia'mah Ruins|Ruinas de Balia'mah
Ziata'jai Ruins|Ruinas de Ziata'jai
Mizjah Ruins|Ruinas de Mizjah
Silverpine Forest|Bosque de Argénteos
Coldridge Valley|Valle de Crestanevada
