Original|Translated
Dun Morogh|丹莫罗
Longshore|长滩
Badlands|荒芜之地
Blasted Lands|诅咒之地
- QA and DVD GLOBAL -|占位符
Blackwater Cove|黑水湾
Swamp of Sorrows|悲伤沼泽
Northshire Valley|北郡山谷
Duskwood|暮色森林
Wetlands|湿地
Elwynn Forest|艾尔文森林
The World Tree|世界之树
Durotar|杜隆塔尔
Dustwallow Marsh|尘泥沼泽
Azshara|艾萨拉
Northern Barrens|北贫瘠之地
Crystal Lake|水晶湖
Zul'Gurub|祖尔格拉布
Moonbrook|月溪镇
Kul Tiras|库尔提拉斯
Northshire River|北郡河
Northshire Abbey|北郡修道院
Blackrock Mountain|黑石山
Lighthouse|灯塔
Western Plaguelands|西瘟疫之地
The Cemetary|大墓地
Northern Stranglethorn|北荆棘谷
Echo Ridge Mine|回音山矿洞
Booty Bay|藏宝海湾
Alterac Mountains|奥特兰克山脉
Lake Nazferiti|纳菲瑞提湖
Loch Modan|洛克莫丹
Westfall|西部荒野
Deadwind Pass|逆风小径
Darkshire|夜色镇
Wild Shore|蛮荒海岸
Redridge Mountains|赤脊山
Arathi Highlands|阿拉希高地
Burning Steppes|燃烧平原
The Hinterlands|辛特兰
Dead Man's Hole|亡者洞穴
Searing Gorge|灼热峡谷
Thieves Camp|盗贼营地
Jasperlode Mine|玉石矿洞
Valley of Heroes UNUSED|英雄谷
Heroes' Vigil|英雄哨岗
Fargodeep Mine|法戈第矿洞
Northshire Vineyards|北郡农场
Forest's Edge|林边空地
Thunder Falls|雷霆瀑布
Brackwell Pumpkin Patch|布莱克威尔南瓜田
The Stonefield Farm|斯通菲尔德农场
The Maclure Vineyards|马科伦农场
Dragonblight|龙骨荒野
Zul'Drak|祖达克
The Storm Peaks|风暴峭壁
Lake Everstill|止水湖
Lakeshire|湖畔镇
Stonewatch|石堡
Stonewatch Falls|石堡瀑布
The Dark Portal|黑暗之门
The Tainted Scar|腐烂之痕
Pool of Tears|泪水之池
Stonard|斯通纳德
Fallow Sanctuary|农田避难所
Anvilmar|安威玛尔
Stormwind Mountains|暴风山脉
Jeff NE Quadrant Changed|Jeff NE Quadrant
Tirisfal Glades|提瑞斯法林地
Stone Cairn Lake|石碑湖
Goldshire|闪金镇
Eastvale Logging Camp|东谷伐木场
Mirror Lake Orchard|明镜湖果园
Tower of Azora|阿祖拉之塔
Mirror Lake|明镜湖
Vul'Gol Ogre Mound|沃古尔食人魔山
Raven Hill|乌鸦岭
Redridge Canyons|赤脊峡谷
Tower of Ilgalar|伊尔加拉之塔
Alther's Mill|奥瑟尔伐木场
Rethban Caverns|瑞斯班洞穴
Rebel Camp|反抗军营地
Nesingwary's Expedition|奈辛瓦里远征队营地
Kurzen's Compound|库尔森的营地
Ruins of Zul'Kunda|祖昆达废墟
Ruins of Zul'Mamwe|祖玛维废墟
The Vile Reef|暗礁海
Mosh'Ogg Ogre Mound|莫什奥格食人魔山
The Stockpile|物资储藏点
Saldean's Farm|萨丁农场
Sentinel Hill|哨兵岭
Furlbrow's Pumpkin Farm|法布隆南瓜农场
Jangolode Mine|詹戈洛德矿洞
Gold Coast Quarry|金海岸矿洞
Westfall Lighthouse|西部荒野灯塔
Misty Valley|迷雾谷
Grom'gol Base Camp|格罗姆高营地
Whelgar's Excavation Site|维尔加挖掘场
Westbrook Garrison|西泉要塞
Tranquil Gardens Cemetery|静谧花园墓场
Zuuldaia Ruins|祖丹亚废墟
Bal'lal Ruins|巴拉尔废墟
Kal'ai Ruins|卡莱废墟
Tkashi Ruins|伽什废墟
Balia'mah Ruins|巴里亚曼废墟
Ziata'jai Ruins|赞塔加废墟
Mizjah Ruins|米扎废墟
Silverpine Forest|银松森林
Kharanos|卡拉诺斯
Coldridge Valley|寒脊山谷
New Tinkertown|新工匠镇
Gol'Bolar Quarry|古博拉采掘场
Frostmane Hold|霜鬃巨魔要塞
The Grizzled Den|灰色洞穴
Brewnall Village|烈酒村
Misty Pine Refuge|雾松避难所
Eastern Plaguelands|东瘟疫之地
Ironband's Excavation Site|铁环挖掘场
Mo'grosh Stronghold|莫格罗什要塞
Thelsamar|塞尔萨玛
Algaz Gate|奥加兹大门
Stonewrought Dam|巨石水坝
The Farstrider Lodge|旅行者营地
Darkshore|黑海岸
Silver Stream Mine|银泉矿洞
Menethil Harbor|米奈希尔港
The Bulwark|亡灵壁垒
Ruins of Lordaeron|洛丹伦废墟
Deathknell|丧钟镇
Night Web's Hollow|夜行蜘蛛洞穴
Solliden Farmstead|索利丹农场
Agamand Mills|阿加曼德磨坊
Agamand Family Crypt|阿加曼德家族墓穴
Brill|布瑞尔
